gene_symbol,entrez_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
A2M,2,0.7800113183130388,0.3517427365384672,1.3884792241713275,0.2961353765330885,0.8747827514811702,0.3558729622480662,0.5393010417663533,0.4120922870691056,0.7561475012451411,1.0273876507628872,0.17976180428396102,1.7590099410712718,0.07554766423676325,0.8684121564970069,1.195546931925675,1.0638011003803949,0.11591037115972976,0.5308910272772546,0.34835699261287634,0.05886530753063119,0.650025583671244,0.6090423943438446,0.17389277793143107,0.1138084517063006,0.9455147655988516,0.5357950190389934,0.4524238134369902,0.4454851785966236,0.0419631215184927,0.6195715901288001,0.022533867313810012,0.3261487005877754,1.114324030343281,0.8208164010585649,0.8832932458753171,0.682246524102014,0.9215153428782588,0.7261689306536446,0.5242456511197531,0.4544843193856271,0.4768489964468324,0.12627440996792005,0.4515927210774111,0.4654196186055956,0.310976113534492,0.2578104992599591,0.43440405288306266,0.3286722984521285,0.27768036651060635,0.2651384545182404,1.2818878036348715,0.1377545891839849,0.7368142259201925,1.1879344183206555,0.2530096361543173,0.4181867378448015,0.19712511294642868,1.1881037784545965,0.8198075013753513,0.26036492223567936,0.06195901884656885,0.2031630902462032,0.43778175395791946,0.44822039913872014,0.4757477270771304,0.6995234343401441,0.906057059680638,0.961770054847002,0.9002641222625971,1.0310008842757217,1.1285188196016394,0.1899361421605167,0.6577102646490802,0.2599289507463413,0.4554656152508181,0.8864791981248266,0.8592830883711576,0.7043464024636247,0.08547257130479682,0.6855283421310394,0.95507672821698,0.10095387849146906,0.9133621272339444,0.6148168466013411,0.5976555533642354,0.31449653842203,0.6480293970166341,0.4250975013313734,0.9320209053012988,0.4288086609833914,0.6773734394072191,0.8627311147425486,0.27836446931828623,1.0016775999995675,0.2818464756125341,0.6512005143304882,0.0449415016239104,0.7324655748061512,0.43065337529648906,0.17810367485751274,0.2437916901707649,0.6562583821590828,0.2570264531024125,0.8707672597613672,0.5309110081390195,0.3037982286091732,0.02858660173156987,0.8331199435306632,0.32346027965454954,0.6603582433206232,0.5918691692987214,0.16792488409125286,0.9623618742110936,1.3910115917869237,0.34939002324705537,0.4651448344115329,0.3472993627409248,0.585233291523612,1.0846708261448403,0.03443504656786504,0.07681140993276367,0.821369814503452,1.242904767818425,0.8984894831478596,0.2623942436537017,0.5449287258542103,1.6745991407043261,0.06771174034346705
AANAT,15,0.2651196747330519,0.405829187193169,0.8393260630793297,0.3606349724215957,0.11212684571743012,0.11164095319234407,0.8325290283704033,0.5528146343620924,0.6195666910536014,0.6831427930352779,0.8564285904455643,1.3477044633059547,0.13409441142128065,0.2152021630996695,0.05021787205567727,0.7375273162126541,0.03871874283139522,0.41675900573913865,0.08489877702525027,0.3627848349798184,0.32185360001829955,0.4460827751557988,0.08030370279286916,0.11280715336593294,0.3446915719199639,0.8562849914196592,0.8262399277778772,1.1540986258651202,0.12848929315805435,0.2337465225847868,0.7513124912432753,1.0973020578290409,0.2714472294426881,0.2433958180134113,0.4325645755833158,0.35042042713325755,0.1229598883797343,0.7794022773320858,0.03906443787881962,0.6801324644584495,0.08828189416573598,0.3735952081760535,0.3007200614993389,1.051571396772678,1.166989295499829,0.17374199599744036,0.5608298252608913,0.3323225129911533,0.4106898989299169,1.174005153038754,0.5284915569539254,0.12326259919943718,0.2183362117696267,0.1488029413498365,0.34898171599667804,0.8409087614944348,0.6091990926747138,0.8699312729273851,0.8536737486490836,0.31013263534754515,0.6169948692562488,1.0741589716821909,0.1999801361732758,0.1516474575492052,0.9779920914196052,2.115090194934836,0.25936707021525274,0.3430499869370117,0.3165333433005099,0.07306505371171694,0.5249907041054506,0.32527688823640344,0.5164906555786729,0.053362603250604414,0.4717864465656189,0.3611778495403437,0.19644500573380635,0.6703252230641934,0.8101373941222062,0.2499270060028021,1.0788601969698302,0.19596511034438244,0.5567137133502044,1.2227832771723086,1.3026413023987642,0.458422114648498,1.2358022151772792,0.471624241190461,0.4272301020587866,1.030221013117295,1.6997459838940547,0.6338375477378185,0.4583741921129135,1.1104438195091026,0.7355143014284281,0.3581152848440867,1.3745705615843715,0.180316639518222,1.733299605605694,0.4327456125731652,0.06528086020969427,1.5262192247234858,0.6855355808110192,0.6334483533954391,1.1387949132518127,0.17642207451164724,0.4518267914767449,0.14657943609958654,0.2361376498410335,0.4796650167726553,0.6782515743267364,0.010486158315952008,0.5702969869197562,0.6910304710039725,0.3356825660971495,1.0150658198159477,0.11478636438743428,0.3596728069535815,0.32435955652823817,0.07271137839326491,1.5898227475812805,0.1619060335136377,0.43153461392968895,0.6825186924980237,0.3617677306670409,1.380948845079312,1.0567021987816465,0.11058945508243946
AATF,26574,0.0974664513563568,0.6793932788438081,0.590570761195638,0.5558048441718247,0.5621881128187207,0.29982659401372075,0.226162363240834,0.8826395851221275,0.8388771688802675,0.6885851808264851,0.4299362540719184,1.1548766544969244,0.0906873885880817,0.31542776556685564,0.3689689916304567,0.3913202189281583,1.1230819846723568,0.3217749949206005,0.3838586952859028,0.2819206134687093,0.048748828853395855,0.3317508942913264,0.9520266996002332,0.09658777563663368,0.8956282436339693,0.7166715677869929,0.5775060942531987,1.963712035864592,0.031544563526457015,0.3314396790516647,0.9888262638060208,0.4985023223981261,1.066623852699995,0.26080943926533856,0.1842795182984661,0.2689494514414533,0.09008920614946296,0.03441976004153152,0.2867672005244954,0.6819313890148293,0.12798708202148024,0.4244596553560008,0.6210065665434708,0.7840122578530149,0.7736315477148376,0.8037650083885951,0.2695926871760325,0.5207585057514635,0.18589107239110905,1.07138266926462,0.4273783791674809,1.3396678998693825,0.4816430025877939,0.7071085272602399,0.9441695265471935,0.5173370008272203,0.9933130724338646,0.6671922458369623,0.7706031346814284,0.26810144367881794,0.3955206920714541,0.5460213313133202,0.9550584957088258,0.2428234381110153,0.24303348622200166,0.3081002437314865,0.9324573194167832,0.5995637544667857,1.2721652966297483,0.15866698816926642,0.9293384087475186,0.5483741965144873,0.4468448433940384,0.5551698333075779,0.4699945463917472,0.4006105899726125,0.3215458967519755,0.9577362636104226,0.857993915582245,0.1919209223765541,1.0433878448520872,0.23945694974877615,0.6422680915807458,1.1506252116201954,1.1098032728887417,0.7371027797934684,0.7903675575588237,0.9319429607079788,0.3550034617446363,0.4949560764296488,0.20748990684409035,0.6701951596344059,0.3068436653514139,0.5968807580542158,0.2466800803572617,0.13833727875385773,0.20854927760633554,0.7566302086717703,1.5489056988839398,0.1287604748660868,0.3732344999579205,0.8106134152547879,0.8191854443028569,0.4794435055096719,1.2517746413126587,0.0347776270065118,0.2757474756884304,0.4817146679369563,0.5952307454928417,0.11947851509194482,0.28820101862095976,0.4628574844517491,0.5326885897395286,0.4185977190351961,0.301686093065549,1.1527954677695578,0.8137347380503673,0.6347671842465008,0.1811863250065256,0.2854945455593141,1.1046327170289376,0.3812907755137844,0.4138088638098402,0.4099142391657965,0.6279080414992164,0.5660854226824912,0.37578246037391105,0.5220484506914561
ABAT,18,1.04651015772838,0.1621250819111633,0.7333851764274603,0.18888546475353687,0.6536978284662315,0.23547420788253115,0.3356860982745077,1.0450064910272523,0.16652475758780574,0.5656305198290551,0.3712022253517928,1.2839497080888571,0.2685895616470208,0.17385924542250558,0.35940868732440034,0.4129320819479551,0.2510409768237624,0.26171117440559144,1.0884445688896631,0.026698443227151567,0.5678988754337784,0.22374060106023336,0.27382883601460983,0.11895710422148452,0.9583455028904009,1.6859992172135865,0.15571816732543844,0.07388852752543004,0.2628039353577666,0.6212782890425793,0.7364553081593657,1.374709196941739,0.3149393771796726,0.7741750485437034,0.3593985571105452,0.7142675211689211,0.8429298549038611,0.4509041762694197,0.12725493858835493,0.08986324666053519,0.2555367756241485,0.3552671681345953,0.6897775263929841,0.9344238796177529,0.8223742008512449,0.06268293360453965,1.013671740941169,0.1992018911745688,0.15612958662515114,0.5343592532036839,0.6081620488799531,0.1201959722271088,0.26051614043815424,0.6217998510233826,0.4912738562207814,1.4066840827374814,0.09531345391869832,1.5835084950479197,0.3263568127950177,0.8071221177805533,0.4597448520449012,0.6355491368807563,0.1460233196096365,0.9476887754193516,0.26039097540715866,0.2765115472766058,0.2902057879062933,0.5092172734293177,0.12407089120441282,0.2613188401355531,0.5801965246655683,0.2949975230933218,1.0316685257638378,0.6644427723651969,0.7350131116071066,0.5044468268441658,0.4191177090586618,0.11250553582109106,0.11769143501802007,0.26325980262820026,0.12250677378949268,0.3682093800002232,0.2888620300240122,0.4678186875009953,0.3996146589858717,0.4802810191097416,0.9117509562810956,0.2567731285908137,0.30050647849751305,0.43049893296980696,0.192356255542227,1.469286628480452,0.04500596180356057,0.6373699433628701,0.3215719312465526,0.19460296642338468,0.14843291034705414,1.7684625244446734,0.8138434388129719,0.3451947177464301,0.1955327561565552,1.2702984977953944,0.5157164028546116,0.27491643554783723,0.4020896453648633,1.7283316836916198,0.3579203546292676,0.2960721181532325,0.5796791280836386,1.3397680926519309,0.5042014280240261,0.6783938942386862,0.81097481611488,0.6052710900238405,0.6387602203669994,0.5144221472077418,1.393372574570235,0.9918479896677556,0.5339927337724398,0.560442000492512,0.342884173842739,0.4640961096391024,0.28449159535370017,0.9281858406787696,0.19832285771781735,0.5419130837508701,1.524332644757201,0.5743337734003169
ABCD1,215,0.23898869493277744,0.8651051374920644,0.4632574826152995,0.5759418196626939,0.5198258730582893,0.7606647274736315,0.3195365480333567,0.9798288970114664,0.2054147039866075,0.947400414433796,0.5121361682703719,1.9964368654694409,0.1701019090344198,0.4836966124037281,0.16480295681627466,0.8273993702279404,0.1352075531054288,0.1894112290395424,0.4075383368786424,0.2925319448392838,0.7655977196153253,0.7196687589911744,0.12242127071134748,0.23732511348091065,0.2520764341624453,0.7754340774717275,0.2988132816611324,0.6444685044232756,0.18801679415162653,0.2297420365968719,0.5711787629500031,0.6307571825245395,0.14135568986879662,0.6665255898842588,0.3232505850365851,0.26225501011125746,1.0470879955543204,0.8753872337285429,0.06990556273143739,0.7234136860119179,0.6480007993220351,0.3459084798814729,0.249810082486365,0.7668347597110551,0.739991722558625,0.1566815048758872,0.3458460791007383,0.3567521731555462,0.3295126143284142,0.7538736910943408,1.114730975991115,0.3649785875855014,0.5151767034269871,0.41919212562497693,0.23236841943697076,0.7584311218233779,0.40668706858996295,1.9344158647302536,0.7817434336419683,0.3362283530365676,0.1919050152390264,0.2711377995228395,0.2784766525239684,0.12916693926788864,0.06844781646039337,0.5805577997746877,0.4993768499186262,0.5672658836469054,1.037308255371172,0.7595344984252006,0.7106150900106877,0.33641982438974083,0.8223047077748924,0.21997088535688816,0.508840876892209,0.4687505145324394,0.3084647656069137,0.7219877075403929,0.3963775715604425,0.3045412523299456,0.6313345842063427,0.12619603204540908,0.6033298592083156,0.6556877226289362,0.5024842365039512,0.6071999478107318,0.9570258624933194,0.6499442070862278,0.1418756819004193,0.2593201940320432,0.4654992841184139,1.6819177617877719,0.5902998817805201,0.9969863870646803,0.28373004535213114,0.6210851050238125,0.2620681057777256,0.7790812912024557,1.0589906702190637,0.23141250449902145,0.1914668836514465,0.5834307397762314,0.2422900165943429,0.7713164632651024,0.8912280261772685,0.5080893609207123,0.3017586870561354,0.2355691539659165,0.27156885161530225,0.7672646347386762,0.52491484711878,0.30981778289191425,0.2807119762548245,0.9794408503361046,0.4570648270705715,0.35906573159620164,0.6409713385161012,0.4415210732026026,0.5936792633822188,0.24374993852339685,0.4690622918820009,0.1567115559708327,0.7461212310683913,0.5538179948250763,0.1781184451538138,1.0719917230051943,0.8071080574858933,0.0782350210286677
ACAN,176,0.5140500238248044,0.924121468000942,0.4163398635470205,1.219241262036893,0.7305244500728117,0.22014092780856626,0.11428220790707402,0.5581626680576139,0.3124271086272266,0.3561747616612249,0.8357604325438539,0.6702265064708061,0.4476633152551949,0.32966852004122404,0.38336968300657137,0.8577157014825691,0.8760974823310971,0.4760975009823839,0.2685279606696632,0.2306506701972749,0.09005563037883904,0.5548947982697023,0.7426353899968995,0.1725756420691808,0.9163238290076454,0.2582636398077011,0.435513956890338,1.1394008064932293,0.5167103170355161,0.42117245690379707,0.8306572699670991,0.2520380910527375,0.7246262740012672,0.19560977635284266,0.057426290433439935,0.7414279314006368,0.2945213359966874,0.5444004853545792,0.5635780675212542,0.2894405603036285,0.9004675578201811,0.5303819184750318,0.3840226354656948,0.44797480967723663,0.37396476368937226,0.5372121287240751,0.2349290317400462,0.3307953775922457,0.09838531005713674,0.4479976312588486,0.4082915977885326,2.0514721953765385,0.35699629991004866,0.4095253474141161,0.43982485028397705,0.4261446367556022,0.5425558244933685,0.7002954661349455,0.5019576110364871,0.2758444632838169,0.3677350707559122,1.05214686644574,0.5870666548795999,0.2883838489579244,0.7029581863681476,0.26431901346064274,0.6817623978356521,0.6857697193841967,1.3532705887562284,0.16545615041007594,0.3316654561211665,0.2568624797835946,0.29501217518001793,0.4842100254963669,0.3048495743837621,0.5273353726354738,0.45361228302948997,1.1388429134339093,0.6054239891966184,0.7686617299624615,0.6172129411374531,0.4962630692641768,0.5539652304340982,1.896142804200451,0.5313799013590648,0.5783276316337287,0.9738909909998376,0.2958493795163102,0.298052795684586,0.6349424265738991,0.1916416039897336,0.4420421191677451,0.8571274322861184,0.3631817957013845,0.5745028617895311,0.14536443810496066,0.3029193703499105,0.6550894960823158,1.3093308109748694,0.18167839675831304,0.40169742692468896,1.0807564450096754,0.7333492449898686,0.5355974806286394,1.2704920237759751,0.0718520207899726,1.3773037635410823,0.3010711087617609,0.3596887616523438,0.4703211694510861,0.6314504127452771,0.8427556490111682,1.3864503898036975,0.4141889139306214,0.3238372384218706,0.5956994021021658,0.571367505684288,0.7655737040398849,0.5937624578177929,0.5898976444453001,0.6638527657070922,0.5206961617453231,0.2334135041510065,0.5206878568656329,0.8531093531164029,0.6630430291220546,0.3988228983970152,0.3005629076063633
ACE,1636,0.24782411881222602,0.435837717059306,0.5153998423117054,0.4998104255500721,0.08267463885644137,0.11224134344496824,0.5560900207684727,0.6177640156077108,0.3675006944307233,0.8685922498708366,0.555086299450558,1.563865313157789,0.14906078891126154,0.2543981210423374,0.03736050023532623,1.0946422225951635,0.09205339521939206,0.4434672946486395,0.09358876464372508,0.4252390116802963,0.22644481533360036,0.3779357057472863,0.1433441775249017,0.2297590003700137,0.27361927212963644,0.8372464250767362,0.8523755862854177,1.1918686522879232,0.13840127829608034,0.3451106959315533,0.686300939179269,0.9641174557932152,0.15694472696253206,0.14385584151847447,0.3472655555335382,0.3122353241698749,0.19187714362368335,0.458529635436005,0.02540159854507409,0.6074577301612389,0.09936406445312017,0.282020412840194,0.6243346141001241,1.2115522323800059,1.2255420978348672,0.1991905071692474,0.37837857159557103,0.3899616761313801,0.2729375057901855,1.1305598567745685,0.25872399885329844,0.2901494154015757,0.21369832680678705,0.3347947292018198,0.21219987420478895,0.9183610242548076,0.5998172656237986,0.9763164817354116,1.133453484076616,0.1839395146438027,0.31328661541173203,0.8745678554993,0.21914712591781768,0.06957778470453709,0.3710187033215226,1.2449057267596928,0.2323998353780715,0.502582580993806,0.47091199047222204,0.2813092588632133,0.31334398862583696,0.2378973320522965,0.4882059331913369,0.032611645017757845,0.5236675940091097,0.4999505969082153,0.19977786389641544,0.5485589558037117,0.8881431909654062,0.3253244949834121,1.0219607387665013,0.1080191034549652,0.5260381875836607,1.262134495740742,1.0639214463741846,0.4524759981892012,1.4750993534840982,0.4574331222378965,0.2343490534988181,0.6037677999101987,1.3404106660447257,0.3324008896503837,0.2426127141869171,1.2856952639439485,0.6149709517010874,0.2675549008851472,1.1921587050054367,0.4449676324894684,1.8187440829657613,0.3670321736129144,0.13365850278142846,1.2017320549823869,0.5224973773102806,0.9666842295436978,0.8742454666119646,0.09961259039774747,0.4341650701015721,0.13111022113587747,0.30773141855411873,0.3882831614318775,0.8705958343622551,0.0941031835914964,0.5390134304747312,0.7591830572880023,0.2565574013687822,0.8816303629690493,0.14759316594457966,0.4548850797046798,0.4625461883901244,0.04767265329968202,0.9952169146872648,0.1686904415581521,0.6771539280217298,0.4390247474528021,0.23011108205095515,1.3845211148541858,0.8503728244768481,0.08682525020634904
ACHE,43,0.4699517826829106,0.3957353227438095,0.8117875189629072,0.4532287636057784,0.08522881806828081,0.2034268493422617,0.6657800543028861,0.5213203188062956,0.7976661193557084,0.6726853253676867,0.6114714560455953,1.6083771476739397,0.1767894135757039,0.4426387500731896,0.032717427477861445,1.266297658875895,0.108160360956875,0.3698150528905293,0.07481567653206488,0.17238428543477008,0.3748096797506635,0.2963687342591584,0.12388478650711475,0.16617221605731175,0.3472236340547291,1.1271876395493745,0.5385084123645598,0.8794056419345241,0.04047444455791265,0.24021478111545244,0.5654182152620827,0.9745406199727829,0.24637907197000455,0.15319813669038315,0.8496783599544627,0.4958644305309281,0.3546410524391104,0.473332974097381,0.09627054238691926,0.6111090304485212,0.07684016273667416,0.4420705841047069,0.4245301142272849,0.6756738419660057,1.0735192343883682,0.27256066316117844,0.2538307007479792,0.6660690583412846,0.5247442231746391,1.1121064945744972,0.3452390416835745,0.2894071311503649,0.17538900489453227,0.5892089393424491,0.2723536613071337,0.4815387924613121,0.4519214505655691,0.7113647361961193,0.8618576470591749,0.3841159270020823,0.37716111992796253,0.5320253688430724,0.2484583581301073,0.09460043168626724,0.7189104899888238,1.6459060204261915,0.7864437165382939,0.7807276296149941,0.5760909183785164,0.5448873017448932,0.7659044268603126,0.3946923034824431,0.7182379898335784,0.02889048166573048,0.5319425484347934,0.3211088016660263,0.5066070939274505,0.4992396133579314,0.6038830913106601,0.3552245396996538,1.2175406201556325,0.07585959213164946,1.1166882720962166,0.8603052497282624,0.9961987221908444,0.330532463217775,0.8004965859465301,0.7150623037138333,0.3200358626184364,0.7069433466841777,1.4193258791137486,0.4512661293831964,0.2946303588508939,0.6793376414912442,0.3461032210973402,0.2936859568674117,0.5754980306824048,0.8356419474973033,1.4497394657383362,0.24676160786300896,0.17930745492378872,1.2445554951733602,0.4193012739143645,0.483532591337959,1.4697342959915598,0.11153469225081304,0.2119649119283228,0.24440202983949955,0.2730800029076636,0.6062133858073503,0.9081345365367208,0.1707571667758748,0.2695353941634918,0.6815892331426342,0.3869854688139943,0.3878670780484875,0.1050280534507086,0.1204111479781568,0.5758131339338919,0.03783253295036654,0.9414929029438645,0.13631095570201676,0.7828605212069427,0.5783339239323201,0.16615015351834395,0.7190053587189565,1.2760784047003837,0.0757073507613192
ACTB,60,0.9237049125361702,1.0757558411197818,0.8371962210795154,0.6095158039349253,0.4047678022475346,0.32416085066354794,0.6324449312751708,1.2998042840251456,0.4577642799444173,0.6517863624510558,0.24080087898218114,2.1517569520583617,0.2319514409938584,1.0451134224074043,0.19680474830872335,0.7740722568916237,0.09559231181993433,0.1369548585233481,0.3314093936364288,0.5460839397622191,0.7882749530235711,0.9834933639155782,0.2236758781839972,0.2349691257561031,0.2827476699326349,1.045185443341084,0.2680335084348917,0.8833275961228039,0.09034952231966284,0.024043714948322463,0.15476255657556265,0.9703197076657544,0.07919260232992795,1.02622641245956,0.7469250680417147,0.4991158304978972,1.1499550128242244,0.9068439890116292,0.23156560338547694,0.9348655733660513,0.8408807816696555,0.4126755818011968,0.4563571341206198,1.2473524854599458,0.3487927674453544,0.1957124650122031,0.14027092788449447,0.5747100417413141,0.29932273613046045,1.3465154144718594,0.7165160376157451,0.5399651068643383,0.8333353649986827,1.0723625377598016,0.52071577930661,1.3569210890615764,0.8317428812190243,1.4333132118699343,1.2026456119751798,0.3593337906605524,0.40529267669048,0.585940055369359,0.1622810639400521,0.2806792046226885,0.28114646153119593,0.9224362894665936,1.7006750875743837,1.2607457145465455,0.6558623060843219,1.3233648602210957,1.4734642506196447,0.6755380633878321,1.255906105093334,0.7220265685345816,0.6857178865502711,0.5372122832582049,0.8954170351928991,0.5392847591994897,0.3130535470856273,0.2453731355524581,0.9298779938029854,0.1486075792801769,0.779210704335052,1.242954934835434,0.6629841155008129,1.6354837642901618,0.7338553355569425,0.6967079826043514,0.34622647462979605,1.1111480226529682,1.100956240493966,1.4970503026765325,0.2085570903932271,1.078077698327277,0.017319994983465776,0.2899865816484975,0.0852086225670317,1.305853115806113,0.5353918477301688,0.36043910981844296,0.4408768267492237,0.4836781989394322,0.66548032740212,0.4046220824211512,1.1459657002572456,0.6354144077715667,0.15202177133897074,0.5653564194978579,0.9241859485241382,0.6618245302140713,0.8125625592186723,0.3096750783531562,0.6842065921231456,1.271658425807305,0.8022082336579004,0.41233208095897794,0.3498725490725559,0.5728476688816495,1.0461176063800637,0.4866191004508215,0.7883634228324112,0.194493582331292,0.628607738704785,0.4421252130822319,0.7156172923840907,0.6656500699273918,0.7908771297918714,0.13603012028595676
ACTN2,88,0.4545922108621082,0.6773493541895665,0.5408957028795373,0.4231853073412045,0.3563825581933964,0.4170796354318207,0.27856559603051706,0.893569231571799,0.4598783637130294,0.6925883949937468,0.2843987105549736,2.0388835421069103,0.11358324757015165,0.6720821308437734,0.11495363696562973,0.841475015045567,0.12786802006716078,0.15680875568565994,0.3371037484129721,0.2369049954719164,0.8706654256717725,0.5056981560122221,0.1314366378770633,0.2186958826858212,0.36082611608572973,0.9335936691781336,0.2999058505393226,0.6761479232257063,0.07992734468796038,0.15678684371777554,0.4376416533952579,0.7559507550019771,0.11322133390571586,0.6847013812478293,0.6472021756456657,0.3380322063765065,0.9668043156950312,0.8580317315510051,0.21336172099394554,0.5977220704338767,0.4595509502054616,0.4212644078904255,0.24142457251352345,0.8213062771646814,0.7079623437630521,0.2409527892974967,0.18084163690155206,0.4586887628381903,0.3703103029118343,0.8138266803916883,0.5816785539822145,0.3465983118421652,0.320046627311544,0.8002519057047638,0.2564891902458939,0.6389794507614253,0.34967754456807265,1.486772772635926,0.6579868177663196,0.4213808757337657,0.14443497530608015,0.20922788778150625,0.22529822228476404,0.192070777754892,0.08805381315675649,0.6840623831901359,0.6838155124404214,0.8149566647003997,0.8108478947999802,0.8237943622393703,0.9160199739648536,0.3836836917300455,0.8534320235828107,0.2270603709972717,0.4861759127591822,0.3740980910442092,0.4476655959507281,0.4771097219125791,0.3187950711460276,0.319239887974479,0.8457675291834907,0.114576368924569,0.7874090420082211,0.5846450391818176,0.5281779422797263,0.5276448958180845,0.6391526421210305,0.6731902791915292,0.07811744581907988,0.2921044900437648,0.4723058685067703,1.475420163659887,0.3518655797737566,0.8218302722766319,0.12087464632466435,0.5856319796531038,0.047857865968888455,1.0961262672936374,0.9010517975755712,0.17006601703776555,0.2783218529515646,0.586232103239745,0.2718012594414705,0.516980745209889,1.0132873235168782,0.4743688301877542,0.17617360366677695,0.2709306134469807,0.2961711178719997,0.7451790994879874,0.6305680254745213,0.2806145547973839,0.3337293866733936,1.0480294986577197,0.5437586697076702,0.25663014251400124,0.5226592670093206,0.4733219492723318,0.7044001546129585,0.18389362278987065,0.34014049173078753,0.18636692405424332,0.7193326861546798,0.3944805061783303,0.1998141061243686,0.6239242134886709,1.1514577266895636,0.11730979380282487
